ID;trained_criterion;est_criterion;match_domain;trial;ID_item;item;category;seeding_CO2;seeding_Kcal;crit_CO2;crit_kcal;judgment;input_values;rt_ms;criterion;item_type;OME;OME_corr;sign_OME;rank;rank_z;age;gender;education_level;CO2_knowledge;Kcal_knowledge;SNS_1;SNS_2;SNS_3;n_posts_liked
ytzg2mdbz5;Kcal;Kcal;1;43;22;Salmon;meat & fish;0;1;6820;180;200;2,0,0;12422,26000000001;180;seeding;0,045757490560675143;0,045757490560675143;0,045757490560675143;0,4146561083823052;0,4412211120795889;27;female;Bachelor;4;5;5;5;4;27
ytzg2mdbz5;Kcal;Kcal;1;44;10;Orange;fruit & vegetables;1;0;670;47;65;6,5;4479,40000000002;47;transfer;0,140815498707138137;0,140815498707138137;0,140815498707138137;0,7853038009852007;1,0590599376690268;27;female;Bachelor;4;5;5;5;4;27
ytzg2mdbz5;Kcal;Kcal;1;45;27;Milk;dairy;1;0;1800;46;37;3,7;9058,91999999998;46;transfer;0,094556107614579069;0,094556107614579069;-0,094556107614579069;0,7853038009852007;1,0590599376690268;27;female;Bachelor;4;5;5;5;4;27
ytzg2mdbz5;Kcal;Kcal;1;46;14;Fish fingers (frozen);meat & fish;0;0;6400;188;240;1,5,0,NA,NA,NA,2,4,0;9803,64000000001;188;transfer;0,106053392447926192;0,106053392447926192;0,106053392447926192;0,7853038009852007;1,0590599376690268;27;female;Bachelor;4;5;5;5;4;27
ytzg2mdbz5;Kcal;Kcal;1;47;8;Apple;fruit & vegetables;0;0;500;54;70;7,0;41016,85999999999;54;transfer;0,112704280191288322;0,112704280191288322;0,112704280191288322;0,7853038009852007;1,0590599376690268;27;female;Bachelor;4;5;5;5;4;27
ytzg2mdbz5;Kcal;Kcal;1;48;1;Zucchinis;fruit & vegetables;0;1;860;19;55;5,5;2777,31999999995;19;seeding;0,461609088541414914;0,461609088541414914;0,461609088541414914;0,4146561083823052;0,4412211120795889;27;female;Bachelor;4;5;5;5;4;27
ytzg2mdbz5;Kcal;Kcal;1;49;39;Croissant;grain products;0;1;3390;332;150;1,5,0;3220,38000000001;332;seeding;0,345046824648355066;0,345046824648355066;-0,345046824648355066;0,4146561083823052;0,4412211120795889;27;female;Bachelor;4;5;5;5;4;27
ytzg2mdbz5;Kcal;Kcal;1;50;16;Salami;meat & fish;1;0;5060;502;120;1,2,0;3973,64000000001;502;transfer;0,621522471097394447;0,621522471097394447;-0,621522471097394447;0,7853038009852007;1,0590599376690268;27;female;Bachelor;4;5;5;5;4;27
ytzg2mdbz5;Kcal;Kcal;1;51;51;Chips;sweets;0;0;3290;503;500;5,0,0;5251,16000000003;503;transfer;0,002597980719908577;0,002597980719908577;-0,002597980719908577;0,7853038009852007;1,0590599376690268;27;female;Bachelor;4;5;5;5;4;27
ytzg2mdbz5;Kcal;Kcal;1;52;26;Butter;dairy;1;0;10180;741;200;2,0,0;3915,43999999994;741;transfer;0,568788212315346930;0,568788212315346930;-0,568788212315346930;0,7853038009852007;1,0590599376690268;27;female;Bachelor;4;5;5;5;4;27
